Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
188,1,304402,6.45800979735424e-05,0.08895397186279297,0.0035323355299899475,1037
189,6,130658,4.517747782193543,0.032608985900878906,0.731543418696138,48046
190,4,302469,2.584958929750062,0.05965900421142578,0.38787574222727694,58915
191,7,623513,5.799615008955792,0.14864110946655273,0.8711734959816395,65536
192,5,821517,3.245842731832891,0.1623218059539795,0.45549148709034626,65536
193,9,310708,6.554377004453674,0.08098196983337402,1.0032635142963813,65536
194,4,170926,2.5849522483557923,0.034380197525024414,0.4106455425154745,35350
195,5,938976,3.2462430618159823,0.18074512481689453,0.4536367276692908,65536
196,3,519483,1.9999742887806768,0.09463810920715332,0.28865403865403866,65536
197,1,422129,4.768699146658434e-05,0.13481402397155762,0.0029999786794526776,1176
198,2,332357,0.999999897963649,0.05462980270385742,0.15579632744308078,27871
199,2,424362,0.9999999976927532,0.06980514526367188,0.161946639897069,34617
200,7,219179,5.531569422956053,0.056674957275390625,0.8646540042613572,65536
201,6,338710,3.9158928772643073,0.07488489151000977,0.5845295385432966,65536
202,9,875057,6.554504922836889,0.21245288848876953,0.9808001078786868,65536
203,5,152824,3.2454695807643397,0.03401494026184082,0.5150369051981364,39610
204,2,674455,0.9999980143671078,0.11079001426696777,0.15441208086529123,52327
205,9,946132,6.554504449177548,0.22728681564331055,0.9800197012678992,65536
206,2,314575,0.9999995836179717,0.05272507667541504,0.15670547564173887,26546
207,2,384869,0.9999929990375367,0.06322216987609863,0.15339310258815336,31741
208,7,339143,5.670943284647724,0.08387112617492676,0.8668083964581312,65536
209,4,491031,2.5849602608956426,0.09424901008605957,0.3721605604545547,65536
210,1,786862,2.6724438639035003e-05,0.3144409656524658,0.002194794004539551,1511
211,2,528336,0.9999995823848131,0.08671736717224121,0.15827049453378153,42065
212,3,293825,1.9999954848611727,0.05454897880554199,0.3045700827706382,45000
213,7,124246,5.587178125806524,0.035006046295166016,0.9190155015050786,57347
214,8,973407,6.554513746443128,0.23428893089294434,0.9797998165207359,65536
215,7,916968,5.679959360712801,0.21589088439941406,0.843207178440251,65536
216,1,791001,2.659420012394737e-05,0.318173885345459,0.002188527180783818,1514
217,1,164433,0.00011414944911373948,0.038056135177612305,0.00437110781356427,830
218,3,475879,1.9999138184364553,0.08663392066955566,0.2910506098227269,65536
219,3,141743,1.9999596973398075,0.02822399139404297,0.3072042119373501,23478
220,8,990288,6.554533715794708,0.23599815368652344,0.9794786971062963,65536
221,4,301892,2.584951662633945,0.06068110466003418,0.38797980734832327,58819
222,9,7592,6.547206442400155,0.003201007843017578,1.2720462328767124,6198
223,9,256824,6.554325111334767,0.06682014465332031,1.0106376351119832,65536
224,2,905191,0.9999990750635119,0.14785075187683105,0.14996834922132457,65536
225,3,681778,1.9999875358491832,0.12144017219543457,0.28311351528947926,65536
226,7,226388,5.718328867580476,0.05936884880065918,0.8942611799211972,65536
227,6,605623,4.4320554254107005,0.13170385360717773,0.6460553842902268,65536
228,3,905300,1.9999643207440547,0.15834999084472656,0.2786833094001988,65536
229,2,756518,0.9999994542950996,0.12496209144592285,0.15268374314953512,58009
230,5,813337,3.2465015013996705,0.1596689224243164,0.45586515798494354,65536
231,3,32776,1.99997419308816,0.007261991500854492,0.3131902916768367,6572
232,2,179508,0.9999861699609403,0.029441118240356445,0.15559195133364528,16215
233,5,314455,3.2468514418340924,0.06572198867797852,0.4807047113259449,65536
234,9,15865,6.549634549587664,0.0059468746185302734,1.221745981720769,11331
235,1,176957,0.00010666901443613537,0.042037010192871094,0.004217150025995163,852
236,8,909434,6.554508633781996,0.21848702430725098,0.9802888389921643,65536
237,6,865348,4.16965424501653,0.18220901489257812,0.5987325330387312,65536
238,9,924160,6.554515824785191,0.22576093673706055,0.9800618940443213,65536
239,6,587677,4.390929056186988,0.12967658042907715,0.639483934201951,65536
240,5,576786,3.246098714730398,0.11596202850341797,0.4620361797963196,65536
